word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
round,0.333,0.0,1.833,0.444,0.056,3.556,0.381,2.143,2.333,0.476,0.333,0.571,visual,0.353,head,0.299,visual
roundness,0.444,0.167,3.222,0.444,0.0,4.278,0.474,2.158,2.474,0.368,0.947,0.5,visual,0.328,head,0.286,visual
rub,0.833,0.167,4.778,1.556,0.278,3.167,1.955,4.091,1.318,0.955,1.682,0.428,haptic,0.314,hand_arm,0.222,haptic
rubbed,0.471,0.059,4.059,0.765,0.059,1.647,1.833,3.944,2.389,0.778,1.722,0.567,haptic,0.297,hand_arm,0.226,haptic
rubber,0.579,0.368,4.053,0.158,2.684,4.0,1.211,3.0,1.368,0.316,0.579,0.329,haptic,0.415,hand_arm,0.213,haptic
rubbing,1.062,0.062,4.125,1.75,0.125,2.25,1.952,4.048,1.762,1.048,1.762,0.433,haptic,0.284,hand_arm,0.204,haptic
rudeness,3.75,0.306,0.306,1.194,0.389,3.444,0.85,0.9,2.8,3.2,0.55,0.367,auditory,0.319,mouth,0.195,auditory
rudimentary,0.857,0.357,0.357,0.786,0.071,1.571,0.75,1.4,2.6,1.45,0.9,0.375,visual,0.261,head,0.228,head
rush,2.062,0.062,0.312,2.438,0.125,2.625,3.227,2.091,1.773,1.818,1.273,0.336,visual,0.192,foot_leg,0.178,foot_leg
rushing,1.647,0.0,0.647,1.647,0.0,2.353,4.053,2.842,2.421,2.105,2.105,0.374,visual,0.144,foot_leg,0.204,foot_leg
sack,0.722,0.556,2.222,0.889,0.778,3.389,0.905,2.095,1.381,0.476,0.952,0.331,visual,0.279,hand_arm,0.203,visual
sacrifice,2.059,0.0,0.294,0.647,0.059,2.647,1.2,1.75,2.9,1.65,1.1,0.464,visual,0.209,head,0.203,head
sad,2.294,0.294,0.647,3.353,0.294,2.765,0.905,1.286,4.143,2.667,1.81,0.317,interoceptive,0.3,head,0.188,head
saddle,0.824,0.412,3.588,0.529,0.824,3.765,2.579,1.684,1.526,0.316,1.895,0.337,visual,0.283,foot_leg,0.192,visual
safe,1.706,0.176,1.059,2.294,0.235,2.765,1.381,1.381,1.81,1.286,1.333,0.314,visual,0.073,head,0.168,visual
safety,1.053,0.0,0.947,1.842,0.053,2.789,1.9,2.05,2.65,1.75,1.8,0.417,visual,0.089,head,0.166,visual
said,4.556,0.0,0.056,0.111,0.0,0.778,0.1,0.5,2.2,4.9,0.3,0.828,auditory,0.6,mouth,0.363,mouth
salad,0.526,4.737,1.474,0.789,2.368,4.263,0.2,1.95,1.6,3.75,1.05,0.297,gustatory,0.415,mouth,0.2,gustatory
sale,1.632,0.053,0.263,0.211,0.053,3.789,0.684,1.789,2.947,1.632,0.842,0.623,visual,0.287,head,0.269,visual
sales,2.867,0.067,0.4,0.4,0.067,4.0,1.3,1.75,2.5,2.3,1.25,0.504,visual,0.137,head,0.233,visual
salmon,0.188,4.375,2.5,0.25,3.062,3.875,0.05,1.75,1.7,3.4,0.2,0.294,gustatory,0.472,mouth,0.203,gustatory
saloon,2.118,0.471,1.294,0.412,1.176,4.412,0.9,1.25,2.05,1.6,0.75,0.405,visual,0.198,head,0.243,visual
salt,0.438,4.5,2.188,1.0,0.875,3.25,0.211,1.474,1.579,3.474,0.263,0.332,gustatory,0.466,mouth,0.223,gustatory
salve,0.222,0.056,3.278,0.444,0.889,2.944,0.833,2.778,2.056,0.833,1.0,0.411,haptic,0.259,hand_arm,0.21,haptic
sample,2.0,2.688,1.875,0.688,1.812,3.25,0.833,3.083,3.833,2.667,0.833,0.208,visual,0.267,head,0.134,head
sand,0.421,0.263,3.895,0.105,0.263,3.579,2.95,2.95,2.55,1.05,1.5,0.444,haptic,0.173,hand_arm,0.194,haptic
sash,0.412,0.0,2.529,0.0,0.0,3.706,0.471,2.529,2.235,0.118,1.765,0.558,visual,0.339,hand_arm,0.269,visual
sat,0.45,0.1,2.15,1.9,0.15,2.25,3.55,0.65,1.0,0.35,3.3,0.307,visual,0.362,foot_leg,0.218,foot_leg
satin,1.0,0.294,3.412,0.765,0.294,3.353,1.3,3.45,2.35,0.55,1.6,0.342,haptic,0.314,hand_arm,0.172,hand_arm
satisfactory,1.056,0.667,0.5,2.111,0.444,1.5,0.842,1.421,2.895,1.737,1.105,0.265,interoceptive,0.257,head,0.172,head
satisfy,1.647,0.765,0.706,3.353,0.529,1.588,0.955,1.909,2.818,2.273,1.545,0.329,interoceptive,0.196,head,0.156,interoceptive
saturday,1.0,0.278,0.556,1.889,0.278,1.667,1.3,1.35,2.65,1.4,1.45,0.284,interoceptive,0.166,head,0.172,head
sauce,0.35,4.35,1.95,0.7,3.65,3.5,0.25,1.3,1.6,3.2,0.6,0.276,gustatory,0.424,mouth,0.191,gustatory
saucer,0.857,0.0,2.619,0.333,0.048,4.048,0.6,2.95,2.15,0.75,1.05,0.512,visual,0.313,hand_arm,0.263,visual
save,1.222,0.0,0.667,1.056,0.0,2.111,1.55,2.35,2.55,1.3,1.2,0.418,visual,0.151,head,0.182,head
saving,0.812,0.0,0.625,0.5,0.0,3.562,0.381,1.286,1.952,0.286,0.238,0.648,visual,0.414,head,0.369,visual
say,3.9,0.3,0.25,1.1,0.25,1.15,0.0,0.2,1.7,4.05,0.25,0.525,auditory,0.653,mouth,0.308,mouth
scarcely,0.842,0.211,0.474,0.632,0.263,3.105,0.158,0.368,2.105,0.421,0.158,0.524,visual,0.607,head,0.337,visual
scarlet,0.095,0.048,0.19,0.19,0.143,3.619,0.158,0.579,3.053,0.421,0.158,0.833,visual,0.663,head,0.413,visual
