word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
absence,1.737,0.632,1.053,1.421,0.684,3.211,0.619,0.667,2.571,1.095,1.0,0.295,visual,0.328,head,0.176,visual
absent,1.486,0.459,0.865,0.919,0.324,3.243,0.611,0.722,2.389,0.944,0.722,0.4,visual,0.33,head,0.23,visual
absurd,3.562,0.125,0.312,1.375,0.125,2.75,0.0,0.524,2.429,1.619,0.095,0.417,auditory,0.52,head,0.276,auditory
abundant,1.357,0.357,1.5,0.929,0.429,3.786,0.222,1.5,2.722,1.222,0.667,0.41,visual,0.395,head,0.243,visual
abuse,3.0,0.1,2.7,2.65,0.05,4.2,2.053,2.789,3.053,2.737,1.842,0.327,visual,0.097,head,0.165,visual
accentuation,2.0,0.312,0.438,0.375,0.188,1.625,0.278,1.333,2.833,2.167,0.5,0.367,auditory,0.359,head,0.22,head
accepted,2.2,0.4,0.85,3.0,0.35,2.75,0.737,1.211,3.526,2.421,1.158,0.277,interoceptive,0.308,head,0.171,head
accident,3.312,0.0,1.062,1.312,0.312,4.375,2.333,2.476,2.81,2.381,2.286,0.422,visual,0.043,head,0.193,visual
accumulation,0.579,0.263,1.105,0.789,0.158,3.158,0.579,2.316,2.0,0.684,0.632,0.496,visual,0.28,hand_arm,0.245,visual
accustom,1.35,0.7,0.9,1.8,0.55,1.95,0.263,0.579,1.053,0.737,0.263,0.193,visual,0.273,head,0.166,visual
aching,0.576,0.03,1.667,4.212,0.03,0.879,2.158,2.211,2.421,1.474,2.316,0.566,interoceptive,0.09,head,0.233,interoceptive
acquaintance,3.15,0.15,1.25,0.25,0.4,4.25,0.389,1.5,2.5,1.722,0.5,0.434,visual,0.319,head,0.255,visual
acre,0.6,0.05,0.8,0.4,0.25,3.45,1.762,0.476,1.905,0.333,0.429,0.613,visual,0.32,head,0.325,visual
act,2.571,0.238,0.571,0.81,0.238,3.19,2.55,2.85,3.15,2.8,2.4,0.388,visual,0.055,head,0.138,visual
action,2.625,0.25,1.0,2.312,0.312,4.062,3.45,3.5,2.85,2.9,2.25,0.361,visual,0.084,hand_arm,0.149,visual
active,1.333,0.111,0.778,2.667,0.278,3.722,3.455,2.955,2.318,2.091,2.091,0.406,visual,0.106,foot_leg,0.166,visual
actual,2.222,0.444,1.333,1.333,0.389,3.389,0.579,0.632,1.158,0.526,0.632,0.329,visual,0.179,head,0.237,visual
actually,0.95,0.1,0.35,0.85,0.1,1.1,0.056,0.167,0.889,0.778,0.056,0.29,visual,0.429,head,0.194,visual
add,0.739,0.043,0.435,1.478,0.043,2.478,0.4,2.2,2.95,1.25,0.25,0.467,visual,0.383,head,0.237,head
added,2.118,0.471,0.647,0.353,0.353,3.588,0.5,2.8,3.55,1.25,0.45,0.43,visual,0.363,head,0.201,visual
addition,1.275,0.175,0.5,0.425,0.125,3.325,0.368,2.0,3.579,1.368,0.474,0.549,visual,0.412,head,0.254,head
address,1.882,0.0,0.118,0.176,0.059,3.941,0.35,0.85,2.6,2.35,0.15,0.638,visual,0.389,head,0.316,visual
adjustment,0.895,0.368,1.842,0.842,0.526,3.158,1.526,2.211,1.947,1.263,2.368,0.366,visual,0.119,torso,0.165,visual
administration,2.188,0.0,0.125,0.938,0.0,3.438,0.421,1.105,3.0,2.211,0.211,0.514,visual,0.402,head,0.252,visual
admitted,3.824,0.294,0.294,0.882,0.118,2.588,0.263,0.474,2.526,2.684,0.316,0.463,auditory,0.387,mouth,0.26,auditory
adopt,1.222,0.056,1.056,1.222,0.111,1.889,0.65,1.65,2.05,1.35,0.9,0.33,visual,0.212,head,0.164,head
adventure,1.667,0.333,1.0,1.667,0.333,2.833,3.143,2.952,3.333,2.333,2.286,0.319,visual,0.075,head,0.137,head
age,2.25,1.25,1.812,2.25,1.062,3.812,2.429,2.381,3.429,2.238,2.238,0.221,visual,0.094,head,0.109,visual
agitation,2.632,0.211,1.0,4.211,0.368,2.789,1.25,1.65,3.2,2.85,1.25,0.357,interoceptive,0.191,head,0.187,interoceptive
agreeable,2.737,0.211,0.368,2.0,0.158,2.684,0.421,0.947,2.789,2.526,0.632,0.316,auditory,0.324,head,0.17,head
aim,0.368,0.0,0.895,0.368,0.0,3.947,1.0,3.85,3.3,0.65,1.35,0.708,visual,0.315,hand_arm,0.251,visual
aiming,0.562,0.188,0.938,0.688,0.188,3.562,1.211,3.211,2.368,0.263,1.105,0.551,visual,0.361,hand_arm,0.236,visual
air,1.684,0.368,2.789,1.368,1.842,0.684,1.95,2.45,3.95,3.85,2.3,0.277,haptic,0.138,head,0.154,head
alas,1.2,0.0,0.0,0.467,0.0,0.333,0.182,0.364,2.0,0.864,0.273,0.6,auditory,0.494,head,0.352,head
ale,0.438,3.75,1.188,1.438,2.375,2.938,0.118,1.588,2.176,3.588,1.353,0.273,gustatory,0.393,mouth,0.173,gustatory
alike,2.421,1.105,1.526,1.421,1.211,3.895,0.667,1.333,2.667,0.905,0.476,0.241,visual,0.362,head,0.194,visual
alleviation,1.667,0.4,1.467,2.4,0.933,2.467,0.667,1.333,2.381,1.19,0.667,0.221,visual,0.275,head,0.133,visual
alley,0.8,0.15,0.3,0.2,0.8,3.8,2.263,1.263,2.053,0.842,0.737,0.603,visual,0.213,foot_leg,0.276,visual
almost,1.824,0.294,0.647,1.471,0.412,2.294,0.632,0.842,2.0,1.0,0.684,0.288,visual,0.265,head,0.165,visual
alone,1.0,0.053,0.421,3.316,0.211,3.579,0.35,0.6,2.8,0.35,0.7,0.411,visual,0.51,head,0.264,visual
along,1.0,0.176,0.706,1.176,0.059,2.118,1.5,1.4,1.9,1.05,1.2,0.393,visual,0.121,head,0.168,visual
alright,1.905,0.333,0.429,3.333,0.381,1.905,0.55,0.8,2.5,2.0,0.55,0.362,interoceptive,0.305,head,0.204,interoceptive
also,0.833,0.0,0.0,0.722,0.0,1.111,0.4,0.45,2.0,1.45,0.45,0.417,visual,0.337,head,0.27,head
alter,0.895,0.526,1.632,1.0,0.526,2.684,1.263,2.526,3.0,1.579,1.053,0.297,visual,0.207,head,0.148,head
alteration,1.432,0.324,1.649,0.649,0.459,3.622,1.053,2.895,2.421,1.0,1.211,0.405,visual,0.221,hand_arm,0.197,visual
altogether,1.647,0.176,0.941,1.353,0.294,2.471,0.75,1.3,2.4,1.8,0.65,0.333,visual,0.254,head,0.166,visual
always,0.706,0.0,0.0,1.0,0.0,1.824,0.611,0.889,1.556,0.778,0.389,0.517,visual,0.276,head,0.235,visual
ample,1.105,0.263,0.737,0.947,0.053,2.895,0.5,1.278,2.111,1.167,0.833,0.474,visual,0.274,head,0.239,visual
amusing,1.882,0.118,0.353,3.412,0.176,2.118,0.667,1.0,3.222,2.222,0.944,0.409,interoceptive,0.317,head,0.204,interoceptive
ancient,0.824,0.176,1.412,0.706,0.588,3.353,0.136,0.591,2.0,0.318,0.136,0.45,visual,0.586,head,0.314,visual
anger,2.5,0.0,0.278,4.056,0.0,2.444,0.429,1.286,3.048,2.429,0.571,0.437,interoceptive,0.337,head,0.238,interoceptive
animosity,2.167,0.111,0.444,2.778,0.0,3.0,0.842,1.526,2.474,1.947,1.105,0.353,visual,0.207,head,0.183,visual
annoyance,2.235,0.294,0.412,2.765,0.529,2.471,0.333,0.722,3.056,2.111,0.556,0.284,interoceptive,0.402,head,0.178,head
another,1.375,0.375,1.062,0.375,0.438,2.438,0.389,1.611,2.111,0.722,0.389,0.34,visual,0.33,head,0.183,visual
answer,3.824,0.235,0.353,0.647,0.176,2.235,0.05,0.55,2.35,3.1,0.2,0.488,auditory,0.488,mouth,0.275,auditory
ant,0.467,0.133,2.133,0.133,0.467,4.267,0.842,1.368,2.263,0.263,0.421,0.544,visual,0.388,head,0.324,visual
anticipation,0.722,0.278,0.556,3.667,0.167,1.444,0.773,0.909,3.091,1.182,0.955,0.512,interoceptive,0.336,head,0.255,interoceptive
anxious,1.389,0.167,0.5,4.222,0.222,2.278,1.211,1.316,3.632,1.632,1.632,0.462,interoceptive,0.257,head,0.223,interoceptive
anything,3.211,2.105,2.158,2.474,2.105,3.105,2.118,2.471,3.059,2.294,2.176,0.073,auditory,0.078,head,0.041,auditory
anyway,1.562,0.312,0.562,0.625,0.312,1.188,0.059,0.471,0.941,0.941,0.059,0.274,auditory,0.357,mouth,0.214,auditory
appeal,2.844,0.594,0.781,1.531,0.594,2.688,0.6,0.95,2.9,2.55,0.55,0.249,auditory,0.311,head,0.142,head
appearance,0.25,0.0,0.85,0.4,0.25,4.8,1.6,1.65,3.35,1.35,1.75,0.733,visual,0.206,head,0.295,visual
apple,0.778,4.833,3.278,0.278,2.556,4.056,0.053,2.421,1.579,3.789,0.158,0.289,gustatory,0.467,mouth,0.201,gustatory
argument,4.0,0.0,0.15,1.35,0.0,2.9,0.75,1.2,2.9,3.6,0.9,0.476,auditory,0.305,mouth,0.225,auditory
arise,0.811,0.189,1.0,1.865,0.081,1.703,2.0,0.85,1.4,0.3,1.1,0.316,interoceptive,0.301,foot_leg,0.17,foot_leg
around,1.158,0.263,1.105,0.737,0.368,2.842,1.389,1.278,2.333,0.611,0.889,0.398,visual,0.265,head,0.199,visual
arrange,0.421,0.053,2.526,0.526,0.105,3.421,1.222,3.778,3.278,1.389,0.833,0.478,visual,0.28,hand_arm,0.212,hand_arm
arrangement,1.8,0.3,1.1,0.45,0.3,2.9,1.0,2.737,3.053,1.421,0.947,0.38,visual,0.23,head,0.172,head
art,1.857,0.514,2.114,0.857,0.6,4.629,0.263,2.474,3.526,0.684,0.368,0.389,visual,0.446,head,0.244,visual
artichoke,0.765,3.529,2.588,1.118,2.0,3.294,0.158,1.895,2.263,3.263,0.842,0.208,gustatory,0.369,mouth,0.155,gustatory
article,1.316,0.158,0.789,0.211,0.158,3.947,0.0,1.737,3.263,0.632,0.0,0.576,visual,0.579,head,0.323,visual
articulate,3.211,0.263,0.579,0.632,0.368,1.526,0.9,1.25,3.2,3.8,0.65,0.448,auditory,0.321,mouth,0.216,mouth
artificial,1.722,1.278,2.056,1.111,0.944,3.389,0.684,1.842,2.421,1.105,0.421,0.233,visual,0.309,head,0.175,visual
ash,0.19,0.238,2.381,0.238,1.524,4.19,1.059,2.118,2.588,1.0,0.588,0.457,visual,0.272,head,0.248,visual
asparagus,0.4,4.6,2.35,0.75,4.0,3.95,0.4,2.25,2.5,4.05,1.05,0.262,gustatory,0.356,mouth,0.16,gustatory
assumed,1.933,0.4,0.267,1.2,0.333,1.533,0.579,0.789,2.684,1.105,0.737,0.294,auditory,0.357,head,0.209,head
assured,2.5,0.1,0.65,2.7,0.2,2.05,0.278,0.889,2.278,2.333,0.333,0.317,interoceptive,0.336,mouth,0.182,interoceptive
astonishing,0.875,0.312,0.625,2.562,0.375,3.125,0.474,1.053,3.947,2.105,0.947,0.357,visual,0.407,head,0.222,head
astonishment,2.167,0.833,1.444,3.611,0.778,3.056,0.667,1.333,3.905,2.19,0.81,0.238,interoceptive,0.364,head,0.156,head
attention,2.118,0.0,0.0,2.176,0.0,2.824,0.4,0.8,3.35,0.8,0.55,0.397,visual,0.5,head,0.257,head
attractive,1.588,0.529,1.235,1.647,1.176,4.765,0.941,0.882,3.824,0.706,1.235,0.387,visual,0.411,head,0.229,visual
auction,3.263,0.0,0.105,0.316,0.053,3.368,0.522,1.957,2.174,2.739,0.565,0.474,visual,0.279,mouth,0.224,visual
audience,3.778,0.0,0.722,0.833,0.611,4.167,1.3,2.1,3.05,2.2,1.15,0.412,visual,0.194,head,0.209,visual
august,1.235,0.059,0.412,0.882,0.059,2.353,1.444,1.556,3.0,1.389,1.556,0.459,visual,0.18,head,0.211,head
author,1.444,0.444,0.611,0.667,0.389,3.222,0.211,2.0,2.158,0.737,0.526,0.418,visual,0.346,head,0.243,visual
authority,3.143,0.19,0.571,0.952,0.143,3.571,0.7,1.1,2.9,2.15,1.0,0.4,visual,0.28,head,0.209,visual
away,1.062,0.125,0.688,1.469,0.469,2.594,1.545,1.121,2.061,0.667,1.061,0.385,visual,0.216,head,0.192,visual
awfulness,2.722,1.556,0.833,1.833,1.667,2.889,0.762,1.0,2.905,1.619,0.381,0.179,visual,0.379,head,0.139,head
awkward,2.125,0.0,0.25,3.188,0.062,2.812,1.55,1.8,3.35,2.0,1.65,0.378,interoceptive,0.174,head,0.178,head
awkwardly,1.176,0.294,0.588,3.471,0.294,2.118,1.952,2.0,2.381,2.0,1.143,0.4,interoceptive,0.131,head,0.182,interoceptive
back,0.406,0.062,1.969,1.344,0.156,2.781,1.031,1.188,1.531,0.625,2.969,0.405,visual,0.319,torso,0.207,torso
bad,2.65,1.3,1.1,2.5,1.45,2.7,1.421,1.947,3.263,2.105,1.579,0.137,visual,0.179,head,0.098,head
bag,1.647,0.147,3.735,0.324,0.441,4.441,0.632,3.368,1.579,0.316,0.579,0.4,visual,0.472,hand_arm,0.25,visual
bake,1.0,3.588,1.647,0.588,4.294,3.588,0.857,3.333,2.667,1.143,1.143,0.252,olfactory,0.271,hand_arm,0.155,olfactory
baker,1.4,1.75,0.9,0.15,2.9,3.35,1.05,2.05,2.65,1.65,1.1,0.306,visual,0.188,head,0.169,visual
bakery,1.059,2.118,1.471,0.353,4.353,4.588,1.0,1.65,2.0,2.3,0.65,0.304,visual,0.217,mouth,0.197,visual
baking,1.1,2.6,1.4,0.45,3.8,3.35,1.1,3.35,2.7,2.0,1.0,0.264,olfactory,0.232,hand_arm,0.147,olfactory
bale,0.75,0.438,2.312,0.375,0.938,3.625,1.143,2.81,2.619,0.381,1.286,0.385,visual,0.295,hand_arm,0.195,visual
balloon,1.389,0.222,3.167,0.222,0.444,4.222,0.429,2.333,1.952,1.476,0.81,0.414,visual,0.272,hand_arm,0.24,visual
band,4.368,0.0,0.684,0.526,0.053,4.158,0.952,1.714,3.762,1.333,0.667,0.446,auditory,0.367,head,0.24,auditory
bank,1.167,0.056,1.278,0.278,0.278,4.167,0.947,2.105,2.053,1.684,0.368,0.569,visual,0.243,hand_arm,0.286,visual
bare,1.118,0.176,2.353,1.647,0.235,3.882,2.684,3.0,2.579,0.737,2.211,0.394,visual,0.202,hand_arm,0.18,visual
bargain,2.15,0.1,0.3,0.3,0.1,3.6,0.7,1.5,2.7,2.25,0.65,0.534,visual,0.263,head,0.244,visual
bargaining,2.765,0.353,0.706,1.765,0.529,2.824,0.333,0.952,2.762,3.048,0.381,0.276,visual,0.363,mouth,0.165,mouth
barn,1.588,0.235,1.706,0.235,2.118,3.647,1.85,1.65,2.55,0.3,1.1,0.358,visual,0.302,head,0.201,visual
barometer,0.471,0.235,0.706,0.529,0.176,3.706,0.684,2.053,2.579,0.474,0.842,0.606,visual,0.317,head,0.283,visual
basting,0.364,0.636,1.455,0.091,0.636,3.273,0.312,4.188,1.25,0.688,0.812,0.493,visual,0.534,hand_arm,0.299,hand_arm
bats,2.588,0.118,1.706,0.529,0.176,3.588,0.55,1.3,2.6,0.2,0.45,0.399,visual,0.471,head,0.251,visual
bay,2.118,0.353,1.176,0.118,1.647,4.647,0.81,0.619,1.905,0.286,0.429,0.45,visual,0.4,head,0.321,visual
beat,3.8,0.15,0.9,1.55,0.1,2.0,2.429,4.048,2.238,1.095,1.619,0.435,auditory,0.258,hand_arm,0.198,hand_arm
beaten,1.235,0.294,2.176,2.353,0.294,3.529,2.429,3.0,2.381,1.333,2.619,0.327,visual,0.142,hand_arm,0.149,visual
beautiful,2.286,0.476,0.952,2.19,0.476,4.571,1.389,1.611,2.333,1.222,1.5,0.374,visual,0.138,head,0.215,visual
bed,0.895,0.263,4.421,1.474,0.842,4.105,3.048,3.0,3.714,0.952,3.381,0.346,haptic,0.196,head,0.159,haptic
bedding,0.696,0.304,4.391,1.478,1.478,4.391,2.895,2.526,2.526,0.632,2.632,0.321,visual,0.202,foot_leg,0.171,visual
bedroom,1.0,0.294,2.412,1.059,0.941,4.529,2.0,1.85,2.85,0.75,1.85,0.414,visual,0.226,head,0.217,visual
beef,0.444,4.667,1.778,0.667,3.667,4.222,0.0,1.35,1.6,3.55,0.75,0.273,gustatory,0.49,mouth,0.206,gustatory
beefsteak,0.667,3.889,1.667,1.167,3.167,3.5,0.238,1.667,1.952,4.333,1.048,0.229,gustatory,0.443,mouth,0.176,mouth
beer,0.895,4.526,1.789,2.0,3.737,3.421,0.421,2.737,2.0,4.0,1.158,0.222,gustatory,0.347,mouth,0.154,gustatory
bees,3.647,0.059,1.824,0.647,0.118,4.529,1.05,1.55,2.85,0.7,0.95,0.413,visual,0.303,head,0.249,visual
begin,1.647,0.0,0.647,0.471,0.059,2.0,1.048,1.333,1.571,1.143,0.81,0.415,visual,0.129,head,0.186,visual
beginning,1.947,0.474,0.474,1.158,0.158,2.263,1.294,1.706,2.647,1.765,1.059,0.325,visual,0.188,head,0.167,head
behave,2.882,0.0,0.176,1.412,0.0,3.824,1.556,1.833,3.333,2.5,1.444,0.461,visual,0.177,head,0.202,visual
behind,0.947,0.105,1.0,1.053,0.368,3.526,1.842,1.263,3.0,0.684,1.789,0.489,visual,0.27,head,0.22,visual
believe,1.5,0.278,0.333,2.278,0.222,1.944,0.1,0.15,3.6,1.1,0.65,0.314,interoceptive,0.625,head,0.288,head
bell,4.056,0.056,1.389,0.611,0.056,2.778,0.05,2.1,3.35,0.15,0.1,0.447,auditory,0.574,head,0.273,auditory
belt,0.333,0.167,3.278,0.333,0.333,4.0,0.65,3.05,1.2,0.3,2.95,0.454,visual,0.337,hand_arm,0.231,visual
bend,1.2,0.15,2.85,1.7,0.15,3.85,2.8,3.1,1.25,0.6,3.0,0.374,visual,0.233,hand_arm,0.179,visual
bended,0.889,0.0,2.167,0.722,0.0,2.722,2.263,3.158,2.263,1.0,1.947,0.419,visual,0.203,hand_arm,0.184,hand_arm
beneath,0.65,0.05,1.3,0.7,0.25,3.4,1.55,2.15,2.9,0.65,1.6,0.528,visual,0.254,head,0.22,visual
bent,0.5,0.0,2.95,0.8,0.0,4.45,2.05,2.8,1.65,0.2,1.9,0.511,visual,0.302,hand_arm,0.257,visual
beside,0.579,0.0,1.211,0.158,0.211,4.053,0.6,0.75,1.45,0.45,0.65,0.653,visual,0.256,head,0.401,visual
besides,0.676,0.059,0.853,0.941,0.412,1.618,0.667,1.033,1.2,0.733,0.833,0.342,visual,0.119,head,0.173,visual
best,1.5,0.85,0.95,2.2,0.8,2.15,1.25,1.5,3.1,1.7,1.3,0.166,interoceptive,0.209,head,0.133,head
bestow,1.8,0.0,0.35,0.4,0.0,2.2,0.238,1.667,1.714,0.952,0.286,0.463,visual,0.304,head,0.229,visual
betrayal,1.824,0.0,0.059,1.765,0.0,2.882,0.571,0.952,2.619,2.286,0.667,0.441,visual,0.289,head,0.212,visual
betrothed,1.417,0.083,0.417,1.5,0.333,1.5,0.647,1.647,2.118,1.529,1.059,0.27,interoceptive,0.21,head,0.166,head
better,1.706,0.706,1.0,2.118,0.765,2.294,0.805,0.951,2.39,1.122,0.902,0.185,visual,0.257,head,0.114,head
beware,2.647,0.471,0.647,2.765,0.529,2.941,0.4,0.8,2.35,1.45,0.35,0.247,visual,0.374,head,0.169,visual
bewildered,1.588,0.176,0.176,3.176,0.294,2.294,0.125,0.438,3.625,1.438,0.188,0.389,interoceptive,0.602,head,0.259,head
bidding,2.882,0.059,0.176,0.647,0.059,2.471,0.316,1.579,2.053,2.947,0.421,0.449,auditory,0.36,mouth,0.212,mouth
big,0.944,0.167,2.722,0.333,0.111,3.889,1.0,1.9,3.1,1.35,0.95,0.463,visual,0.259,head,0.229,visual
bigger,0.55,0.0,2.0,0.2,0.0,4.35,0.4,0.65,1.75,0.25,0.25,0.613,visual,0.455,head,0.418,visual
bill,0.947,0.053,1.842,0.368,0.053,3.895,0.2,1.8,2.25,0.75,0.2,0.537,visual,0.394,head,0.311,visual
bin,0.875,0.0,2.312,0.125,0.5,3.938,0.316,2.211,1.895,0.211,0.211,0.508,visual,0.413,hand_arm,0.313,visual
binding,0.611,0.0,1.5,0.556,0.0,2.611,1.211,2.053,1.368,1.211,0.895,0.495,visual,0.172,hand_arm,0.217,visual
bird,3.68,0.8,1.4,0.16,0.8,4.12,0.375,1.583,3.375,0.542,0.292,0.361,visual,0.5,head,0.231,visual
birthday,2.278,0.778,0.222,1.333,0.667,2.833,1.333,1.81,3.476,2.524,1.619,0.322,visual,0.199,head,0.172,head
bit,0.29,0.71,2.258,0.903,0.129,2.677,0.387,0.871,1.387,3.419,0.323,0.366,visual,0.485,mouth,0.246,mouth
bite,1.0,0.625,2.125,2.0,0.0,3.125,0.295,0.574,1.277,4.745,0.347,0.352,visual,0.615,mouth,0.294,mouth
bitten,0.875,0.5,2.5,2.188,0.0,2.375,1.3,1.7,2.1,3.05,1.2,0.296,haptic,0.198,mouth,0.171,mouth
bitter,1.062,4.25,0.188,2.188,1.562,1.0,0.0,0.048,1.524,3.619,0.286,0.396,gustatory,0.661,mouth,0.27,gustatory
black,0.059,0.059,0.118,0.353,0.059,4.471,0.4,0.65,2.55,0.4,0.55,0.862,visual,0.473,head,0.456,visual
blackening,0.706,1.294,0.824,1.0,1.706,4.176,0.421,1.421,2.053,0.684,0.368,0.358,visual,0.34,head,0.26,visual
blame,3.25,0.0,0.1,0.8,0.0,1.85,0.095,0.429,2.286,2.238,0.19,0.542,auditory,0.418,head,0.289,auditory
blaming,2.895,0.0,0.211,1.526,0.0,2.0,0.35,0.65,3.1,3.25,0.3,0.437,auditory,0.386,mouth,0.228,mouth
bland,0.389,4.167,0.167,0.778,1.389,1.167,0.105,0.632,2.474,4.0,0.263,0.497,gustatory,0.521,mouth,0.262,gustatory
blank,0.4,0.4,0.45,1.2,0.35,3.6,0.167,0.444,2.944,0.556,0.111,0.508,visual,0.671,head,0.328,visual
blanket,0.211,0.053,4.158,0.684,0.947,3.368,2.5,3.4,1.4,0.45,2.65,0.436,haptic,0.284,hand_arm,0.207,haptic
blaze,1.556,0.056,1.722,0.389,2.667,3.944,0.947,1.947,3.053,1.211,1.211,0.376,visual,0.252,head,0.208,visual
blazing,1.474,0.421,1.526,0.684,1.211,3.737,0.421,0.684,2.263,0.895,0.474,0.366,visual,0.389,head,0.24,visual
blend,1.526,0.947,1.842,0.053,0.421,3.789,0.211,2.368,2.158,0.526,0.105,0.436,visual,0.422,hand_arm,0.268,visual
blending,2.059,1.353,2.647,0.412,0.529,3.882,0.571,2.952,1.762,1.048,0.619,0.319,visual,0.342,hand_arm,0.195,visual
blessing,2.158,0.316,1.684,1.895,0.316,2.737,0.875,1.688,3.188,3.0,1.312,0.266,visual,0.23,head,0.15,head
blessings,2.2,0.4,0.467,2.8,0.333,1.667,0.467,1.4,2.867,2.267,0.533,0.314,interoceptive,0.319,head,0.165,head
blight,0.333,0.0,0.667,1.417,0.417,2.5,0.6,0.733,0.667,0.4,0.867,0.469,visual,0.143,torso,0.291,visual
blind,1.438,0.75,1.5,1.5,1.0,1.562,0.529,0.765,3.706,0.294,0.0,0.105,visual,0.7,head,0.284,head
blinder,0.167,0.0,0.944,0.111,0.0,3.722,0.167,1.222,3.333,0.167,0.222,0.753,visual,0.62,head,0.37,visual
blindly,0.7,0.15,1.1,1.55,0.1,1.9,0.6,0.95,2.8,0.55,0.6,0.327,visual,0.409,head,0.245,head
bloated,1.059,1.118,1.059,4.059,0.765,2.118,0.571,1.0,1.857,1.071,3.643,0.324,interoceptive,0.377,torso,0.19,interoceptive
blood,0.158,1.526,2.895,1.474,1.895,4.158,2.095,2.571,3.143,2.048,2.095,0.33,visual,0.092,head,0.166,visual
bloom,0.125,0.25,1.938,0.875,2.375,4.125,0.2,1.0,2.75,0.35,0.3,0.413,visual,0.554,head,0.28,visual
blotter,0.133,0.0,1.733,0.0,0.067,3.667,0.5,3.0,2.278,0.778,0.556,0.655,visual,0.352,hand_arm,0.288,visual
blue,0.25,0.0,0.15,0.5,0.0,4.45,0.111,0.111,3.389,0.333,0.389,0.832,visual,0.756,head,0.46,visual
board,0.647,0.0,3.294,0.059,0.353,4.294,1.091,1.682,1.727,0.545,0.773,0.497,visual,0.203,head,0.297,visual
boat,1.895,0.263,2.158,0.421,0.632,3.632,1.429,2.0,1.905,0.19,1.429,0.374,visual,0.26,hand_arm,0.216,visual
bobble,0.294,0.0,1.471,0.647,0.0,3.471,0.941,2.471,3.882,0.529,1.059,0.59,visual,0.377,head,0.263,head
bolster,1.8,0.2,0.533,0.467,0.0,2.0,0.529,1.0,1.471,0.882,1.0,0.4,visual,0.193,head,0.202,visual
bone,0.278,0.389,2.444,2.056,0.333,3.556,2.476,3.381,2.762,2.143,2.476,0.362,visual,0.094,hand_arm,0.147,visual
book,1.15,0.05,2.9,0.4,0.6,4.5,0.5,3.136,4.091,0.955,0.545,0.464,visual,0.389,head,0.236,visual
boom,4.824,0.176,0.529,1.471,0.353,1.471,0.421,0.842,2.526,0.474,0.474,0.527,auditory,0.444,head,0.343,auditory
border,1.4,0.2,1.933,0.867,0.2,3.733,2.0,1.3,2.85,1.0,1.0,0.424,visual,0.227,head,0.214,visual
bore,1.941,0.294,0.941,2.118,0.412,2.235,0.238,0.952,1.429,0.429,0.19,0.244,visual,0.382,head,0.183,visual
borrowing,1.765,0.294,1.0,0.588,0.294,2.647,0.579,2.789,2.211,1.211,0.421,0.357,visual,0.328,hand_arm,0.181,hand_arm
bottle,0.765,0.294,2.706,0.0,0.353,4.176,0.368,3.632,1.737,2.842,0.526,0.504,visual,0.358,hand_arm,0.24,visual
bottom,0.45,0.0,2.35,0.8,0.15,3.9,0.789,0.684,0.684,0.053,1.263,0.51,visual,0.348,torso,0.351,visual
bought,2.0,0.444,2.167,0.611,0.389,3.0,0.684,2.158,2.263,1.053,0.579,0.303,visual,0.25,head,0.17,visual
bout,1.562,0.0,0.938,0.75,0.062,2.5,0.778,1.389,1.389,0.278,0.889,0.43,visual,0.235,hand_arm,0.237,visual
bow,0.529,0.0,2.059,0.412,0.0,3.353,0.905,1.905,1.667,0.143,2.143,0.528,visual,0.296,torso,0.256,visual
box,0.105,0.0,3.421,0.053,0.105,4.368,0.842,2.684,1.789,0.632,0.895,0.542,visual,0.3,hand_arm,0.293,visual
boy,2.438,0.312,1.312,0.25,0.5,4.0,1.684,2.0,2.789,1.632,1.632,0.426,visual,0.119,head,0.202,visual
bread,0.158,4.421,3.105,1.0,3.0,3.842,0.0,2.429,1.619,4.619,0.381,0.275,gustatory,0.511,mouth,0.188,mouth
breadth,0.533,0.0,1.933,0.4,0.0,3.467,0.647,1.353,1.882,1.059,0.706,0.547,visual,0.219,head,0.289,visual
break,2.412,0.176,2.353,1.118,0.176,2.765,1.952,2.857,1.952,1.143,1.095,0.288,visual,0.196,hand_arm,0.149,hand_arm
breakfast,1.125,4.625,1.875,1.375,3.875,3.75,0.368,2.474,2.684,4.421,1.263,0.211,gustatory,0.362,mouth,0.153,gustatory
breaking,3.353,0.0,2.412,0.824,0.118,3.529,1.364,3.136,1.273,0.955,0.5,0.345,visual,0.365,hand_arm,0.202,visual
breast,0.25,0.8,3.35,1.05,0.45,4.05,0.3,1.05,1.05,0.6,3.5,0.382,visual,0.492,torso,0.231,visual
breath,2.353,1.16,1.521,3.224,2.428,1.678,0.105,0.263,1.737,4.526,2.421,0.167,interoceptive,0.488,mouth,0.206,mouth
breathing,2.684,0.684,1.474,4.316,1.421,2.211,0.0,0.1,2.15,4.4,3.3,0.284,interoceptive,0.442,mouth,0.193,mouth
breed,0.278,0.056,1.111,0.333,0.056,3.444,0.85,1.05,2.4,0.5,1.4,0.642,visual,0.306,head,0.295,visual
