word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
separate,"['61po', '109po']",1.167,hand_arm,visual,visual,0.302,0.353,0.195,1,0.278,2.684,2.556,1.737,0.778,0.737,0.333,0.632,3.222
separating,"['58po', '109po']",1.684,hand_arm,visual,visual,0.399,0.365,0.206,0.8,0.368,3.25,3.158,2.4,0.895,1,0.105,0.2,3.737
separation,"['36po', '58po', '60po', '61po', '109po']",1.421,head,visual,visual,0.166,0.376,0.192,1.286,0.211,2.19,1.842,2.619,1.632,1.333,0.263,1.19,3.579
serene,['13po'],2.647,head,visual,head,0.268,0.293,0.175,1.35,0.176,1.3,0.824,3.6,3,1.5,0.706,1.2,3.294
service,"['58po', '109po']",2.167,head,visual,visual,0.142,0.41,0.187,1.739,0.333,2.391,1.056,2.478,0.722,1.783,0.222,1.13,3.5
set,"['11po', '45po', '95po', '109po']",1,hand_arm,visual,visual,0.213,0.42,0.219,0.75,0.053,1.75,1.684,1.5,0.579,0.6,0.053,0.8,2.526
sets,"['58po', '61po']",1,hand_arm,visual,visual,0.213,0.42,0.219,0.75,0.053,1.75,1.684,1.5,0.579,0.6,0.053,0.8,2.526
settle,['58po'],1.2,head,visual,visual,0.094,0.33,0.149,1.762,0,1.524,0.933,1.905,1.8,1.238,0.267,1.19,2.067
settlement,"['12po', '62po', '63po', '109po']",2.2,head,visual,visual,0.373,0.579,0.299,0.7,0,1.15,0,2.45,0.35,1.35,0.1,0.25,3.65
settling,['4po'],0.867,head,visual,visual,0.178,0.448,0.204,1.158,0.067,1.263,0.4,2.474,2.067,1.684,0.067,1.105,2.933
seven,['37po'],0.882,head,visual,head,0.374,0.633,0.248,0.45,0,1.75,0.059,2.3,0.353,1.1,0,0.15,2.235
several,['22po'],1.867,head,visual,visual,0.204,0.423,0.25,1.05,0.133,1.55,1.733,1.55,0.267,0.5,0.133,0.5,3.267
severest,['17po'],1.895,head,visual,interoceptive,0.362,0.265,0.182,0.333,0.263,0.722,1.421,1.944,2.842,0.944,0.474,0.5,2.842
sewing,['2po'],1.5,hand_arm,haptic,hand_arm,0.556,0.344,0.236,0.722,0.25,4.278,3.75,2.167,0.812,0.222,0.25,0.111,3.625
shade,"['10po', '59po', '69po', '71po', '91po', '109po']",0.237,head,visual,visual,0.16,0.618,0.266,1.5,0.105,1.95,0.789,2.6,1.158,1.2,0.132,1.5,4.184
shaded,['69po'],0.294,head,visual,visual,0.27,0.744,0.377,0.737,0.118,1.053,0.294,1.684,0.412,0.421,0.059,0.789,3.647
shadow,"['15po', '58po', '61po', '109po']",0.059,head,visual,visual,0.407,0.788,0.391,0.85,0.176,0.9,0.235,2.85,0.412,0.45,0.294,0.85,4.647
shadows,"['17po', '58po', '65po']",0.059,head,visual,visual,0.407,0.788,0.391,0.85,0.176,0.9,0.235,2.85,0.412,0.45,0.294,0.85,4.647
shady,['61po'],1.447,head,visual,visual,0.181,0.476,0.22,1.158,0.184,1.421,0.526,2.684,1.237,1.737,0.211,1.421,3.632
shake,"['47po', '66po']",1,hand_arm,visual,hand_arm,0.198,0.249,0.16,2.4,0.333,4.05,2.833,2.85,2.889,1.5,0.333,2.1,2.889
shallow,"['48po', '109po']",1.722,head,visual,visual,0.349,0.412,0.237,0.944,0,1.167,2.5,2.444,0.611,1.167,0,0.333,3.389
shame,"['61po', '65po', '72po', '98po', '109po']",1.306,head,interoceptive,interoceptive,0.328,0.413,0.206,0.684,0.25,0.947,0.472,3.053,3.222,1.474,0.389,1.053,1.556
shape,"['4po', '5po', '59po', '85po', '109po']",0.235,head,visual,visual,0.282,0.523,0.275,0.952,0.118,2.667,3.471,2.905,0.471,0.619,0,0.952,4.706
shatter,"['4po', '95po']",3.879,hand_arm,visual,visual,0.237,0.391,0.223,1.324,0.03,2.529,1.545,2.176,0.576,0.735,0.03,0.794,3.939
shaved,['68po'],0.556,head,haptic,haptic,0.252,0.385,0.194,2.7,0.167,2.45,4.278,3.4,1.111,0.75,0.722,1.2,3.833
shaving,"['25po', '45po']",1,head,visual,visual,0.164,0.387,0.182,1.889,0.062,3.111,3.688,3.389,0.688,1.611,0.75,1.5,4
shawl,"['53to', '53po', '65po']",0.448,hand_arm,visual,visual,0.392,0.466,0.244,0.125,0,3.062,3.414,1.438,0.31,0.188,0.207,2.688,3.828
shelter,['60po'],0.833,head,visual,visual,0.171,0.411,0.237,1.389,0.222,1.833,2.611,2,1.278,0.778,0.556,1.167,4.222
sherry,['66po'],0.231,mouth,gustatory,gustatory,0.451,0.347,0.237,0.062,3.538,0.562,0.385,1.625,1.154,2.375,1.923,0.5,2.308
shine,"['17po', '48po', '58po', '109po']",0.2,head,visual,visual,0.51,0.782,0.429,0.15,0,1.6,1,2.75,0.05,0.4,0.1,0.2,4.85
shining,"['22po', '37po', '41po', '60po', '109po']",0.471,head,visual,visual,0.641,0.785,0.476,0.056,0,0.944,0.294,2.333,0.353,0.167,0.059,0.056,4.294
shiny,"['59po', '109po']",0.158,head,visual,visual,0.469,0.746,0.347,0.571,0.105,1.381,0.842,3.762,0.316,0.524,0.053,0.667,4.526
shoes,"['48to', '83po']",0.778,foot_leg,visual,visual,0.506,0.441,0.246,4.2,0,1.35,3.444,1.8,0.278,0.35,1.056,0.2,4.389
shouter,['60po'],4.632,mouth,auditory,auditory,0.596,0.667,0.372,0,0,0.111,0.053,2.056,0.316,3.278,0,0.056,1.947
show,"['4po', '11po', '20po', '24po', '27po', '28po', '29po', '42po', '45po', '52po', '58po', '59po', '60po', '78po', '98po', '102po', '103po', '109po']",3.133,head,visual,visual,0.178,0.418,0.248,1,0.067,1.857,1,2.143,1.533,1.381,0.333,0.857,4.467
showed,"['1po', '19po', '20po', '109po']",3.133,head,visual,visual,0.178,0.418,0.248,1,0.067,1.857,1,2.143,1.533,1.381,0.333,0.857,4.467
showing,"['17po', '63po']",0.938,head,visual,visual,0.239,0.66,0.295,0.9,0,2.15,0.562,2.75,0.375,0.95,0.25,1,4.125
shown,"['10po', '11po', '18po', '109po']",0.211,head,visual,visual,0.408,0.841,0.366,0.3,0.053,1.8,0.158,2.65,0.316,1.05,0,0.2,3.895
shows,"['2po', '10po', '11po', '17po', '20po', '21po', '27po', '41po', '42po', '45po', '48po', '58po', '59po', '60po', '68po', '69po', '109po']",3.133,head,visual,visual,0.178,0.418,0.248,1,0.067,1.857,1,2.143,1.533,1.381,0.333,0.857,4.467
shudders,['45po'],0.8,torso,interoceptive,interoceptive,0.248,0.325,0.184,1.105,0.25,1.895,2,1.789,3.65,0.632,0.25,2.632,3.5
shunning,['59po'],2.765,head,visual,head,0.302,0.253,0.147,0.727,0.588,1.091,0.588,3.091,2.588,2.091,0.471,0.818,3
shut,['92po'],2.111,hand_arm,visual,visual,0.282,0.422,0.216,1.05,0,3.25,2.389,1.45,0.333,1.45,0.111,0.95,3.611
shuts,['16po'],2.111,hand_arm,visual,visual,0.282,0.422,0.216,1.05,0,3.25,2.389,1.45,0.333,1.45,0.111,0.95,3.611
shutter,['60po'],1.238,hand_arm,visual,visual,0.24,0.459,0.252,0.722,0,2.111,1.476,1.333,1.095,0.833,0,0.778,3.238
shutting,['52po'],2.944,hand_arm,visual,visual,0.413,0.383,0.219,0.75,0,3.6,2.944,1.25,0.278,1.4,0,0.5,3.833
sick,['10po'],1.684,head,interoceptive,interoceptive,0.169,0.312,0.137,1.529,0.526,1.824,0.737,3.882,3.895,3.471,0.842,3.176,3.105
side,"['4po', '17po', '24po']",0.957,hand_arm,visual,visual,0.095,0.523,0.249,1.25,0.087,2.042,2,1.792,0.478,1.333,0.043,1.917,4
sighs,['49po'],3.714,mouth,auditory,auditory,0.4,0.453,0.237,0.15,0,0.65,0.333,2.15,2.095,3.15,0.238,1.4,1.81
sight,"['2po', '4po', '45po', '58po', '64po', '71po', '78po', '109po']",0.053,head,visual,visual,0.98,0.785,0.447,0,0,0.095,0.158,4.714,1.158,0,0,0,5
