word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
2,"['10to', '64to', '75to', '87to', '93to', '98to', '103to', '107to']",1.882,hand_arm,visual,visual,0.235,0.325,0.206,1.571,0.824,1.905,2.294,1.905,0.647,0.714,0.529,0.381,3.765
3,['88to'],2.438,head,visual,visual,0.238,0.495,0.24,0.667,0.125,1.944,0.875,2.389,0,1.389,0,0.833,3.375
4,['89to'],1.278,head,visual,visual,0.348,0.437,0.257,0.579,0.278,1.053,1.333,1.895,0.278,0.895,0.278,0.263,3.167
absent,['61po'],1.486,head,visual,visual,0.33,0.4,0.23,0.611,0.459,0.722,0.865,2.389,0.919,0.944,0.324,0.722,3.243
absurd,"['45po', '58po']",3.562,head,auditory,auditory,0.52,0.417,0.276,0,0.125,0.524,0.312,2.429,1.375,1.619,0.125,0.095,2.75
abuse,['60po'],3,head,visual,visual,0.097,0.327,0.165,2.053,0.1,2.789,2.7,3.053,2.65,2.737,0.05,1.842,4.2
accents,['17po'],4.053,mouth,auditory,auditory,0.377,0.646,0.285,0.55,0.474,0.7,0.211,2.65,0.211,3.25,0.263,0.4,0.737
accentuation,['17po'],2,head,auditory,head,0.359,0.367,0.22,0.278,0.312,1.333,0.438,2.833,0.375,2.167,0.188,0.5,1.625
accepted,['61po'],2.2,head,interoceptive,head,0.308,0.277,0.171,0.737,0.4,1.211,0.85,3.526,3,2.421,0.35,1.158,2.75
accident,['17po'],3.312,head,visual,visual,0.043,0.422,0.193,2.333,0,2.476,1.062,2.81,1.312,2.381,0.312,2.286,4.375
accounted,['58po'],2.017,head,visual,head,0.551,0.302,0.248,0.222,0.462,0.722,0.811,3.5,0.829,1.278,0.512,0.222,2.664
accustom,['4po'],1.35,head,visual,visual,0.273,0.193,0.166,0.263,0.7,0.579,0.9,1.053,1.8,0.737,0.55,0.263,1.95
aches,['73po'],1,head,interoceptive,interoceptive,0.044,0.556,0.196,2.737,0.062,3.053,1.188,3.211,4.375,2.579,0.062,2.684,1.062
aching,['17po'],0.576,head,interoceptive,interoceptive,0.09,0.566,0.233,2.158,0.03,2.211,1.667,2.421,4.212,1.474,0.03,2.316,0.879
acre,"['81po', '106po']",0.6,head,visual,visual,0.32,0.613,0.325,1.762,0.05,0.476,0.8,1.905,0.4,0.333,0.25,0.429,3.45
acted,['16po'],2.571,head,visual,visual,0.055,0.388,0.138,2.55,0.238,2.85,0.571,3.15,0.81,2.8,0.238,2.4,3.19
action,"['17po', '60po', '109po']",2.625,hand_arm,visual,visual,0.084,0.361,0.149,3.45,0.25,3.5,1,2.85,2.312,2.9,0.312,2.25,4.062
active,"['58po', '109po']",1.333,foot_leg,visual,visual,0.106,0.406,0.166,3.455,0.111,2.955,0.778,2.318,2.667,2.091,0.278,2.091,3.722
actual,"['12po', '17po', '60po']",2.222,head,visual,visual,0.179,0.329,0.237,0.579,0.444,0.632,1.333,1.158,1.333,0.526,0.389,0.632,3.389
actually,['17po'],0.95,head,visual,visual,0.429,0.29,0.194,0.056,0.1,0.167,0.35,0.889,0.85,0.778,0.1,0.056,1.1
addition,['42po'],1.275,head,visual,head,0.412,0.549,0.254,0.368,0.175,2,0.5,3.579,0.425,1.368,0.125,0.474,3.325
address,['11po'],1.882,head,visual,visual,0.389,0.638,0.316,0.35,0,0.85,0.118,2.6,0.176,2.35,0.059,0.15,3.941
addresses,['17po'],1.882,head,visual,visual,0.389,0.638,0.316,0.35,0,0.85,0.118,2.6,0.176,2.35,0.059,0.15,3.941
adventure,['8po'],1.667,head,visual,head,0.075,0.319,0.137,3.143,0.333,2.952,1,3.333,1.667,2.333,0.333,2.286,2.833
age,"['58po', '62po', '70po', '109po']",2.25,head,visual,visual,0.094,0.221,0.109,2.429,1.25,2.381,1.812,3.429,2.25,2.238,1.062,2.238,3.812
ageder,['58po'],1.105,head,visual,visual,0.121,0.392,0.204,1.476,0.105,1.524,0.842,2.381,2.895,1.524,0.421,1.381,3.632
agitation,['26po'],2.632,head,interoceptive,interoceptive,0.191,0.357,0.187,1.25,0.211,1.65,1,3.2,4.211,2.85,0.368,1.25,2.789
aider,"['57to', '57po']",1.526,head,visual,head,0.081,0.394,0.155,1.632,0.105,1.947,1.053,2.263,0.632,1.737,0,1.526,2.158
aim,['68po'],0.684,hand_arm,visual,visual,0.315,0.708,0.251,1,0,3.85,0.895,3.3,0.368,0.65,0,1.35,3.947
alas,"['85po', '87po', '88po']",1.2,head,auditory,head,0.494,0.6,0.352,0.182,0,0.364,0,2,0.467,0.864,0,0.273,0.333
ale,['48po'],0.438,mouth,gustatory,gustatory,0.393,0.273,0.173,0.118,3.75,1.588,1.188,2.176,1.438,3.588,2.375,1.353,2.938
alley,['25po'],0.8,foot_leg,visual,visual,0.213,0.603,0.276,2.263,0.15,1.263,0.3,2.053,0.2,0.842,0.8,0.737,3.8
almost,"['21po', '60po', '61po', '109po']",1.824,head,visual,visual,0.265,0.288,0.165,0.632,0.294,0.842,0.647,2,1.471,1,0.412,0.684,2.294
alone,"['24po', '65po']",1,head,visual,visual,0.51,0.411,0.264,0.35,0.053,0.6,0.421,2.8,3.316,0.35,0.211,0.7,3.579
also,"['58po', '109po']",0.833,head,visual,head,0.337,0.417,0.27,0.4,0,0.45,0,2,0.722,1.45,0,0.45,1.111
alter,['60po'],0.895,head,visual,head,0.207,0.297,0.148,1.263,0.526,2.526,1.632,3,1,1.579,0.526,1.053,2.684
alteration,['58po'],1.432,hand_arm,visual,visual,0.221,0.405,0.197,1.053,0.324,2.895,1.649,2.421,0.649,1,0.459,1.211,3.622
altogether,"['4po', '11po', '12po', '30po', '58po', '59po', '60po', '62po', '109po']",1.647,head,visual,visual,0.254,0.333,0.166,0.75,0.176,1.3,0.941,2.4,1.353,1.8,0.294,0.65,2.471
always,"['17po', '58po', '109po']",0.706,head,visual,visual,0.276,0.517,0.235,0.611,0,0.889,0,1.556,1,0.778,0,0.389,1.824
amusing,['4po'],1.882,head,interoceptive,interoceptive,0.317,0.409,0.204,0.667,0.118,1,0.353,3.222,3.412,2.222,0.176,0.944,2.118
analysed,['3po'],1.842,head,visual,head,0.596,0.325,0.274,0.3,0.737,0.95,1,4.65,1.474,1.1,0.368,0.3,3.158
ancient,"['58po', '109po']",0.824,head,visual,visual,0.586,0.45,0.314,0.136,0.176,0.591,1.412,2,0.706,0.318,0.588,0.136,3.353
angels,['27po'],1,head,visual,visual,0.772,0.5,0.316,0,0,0.15,0.45,2.2,1,0.5,0,0,2.45
animosity,['17po'],2.167,head,visual,visual,0.207,0.353,0.183,0.842,0.111,1.526,0.444,2.474,2.778,1.947,0,1.105,3
annoyance,['60po'],2.235,head,interoceptive,head,0.402,0.284,0.178,0.333,0.294,0.722,0.412,3.056,2.765,2.111,0.529,0.556,2.471
another,"['58po', '60po', '72po', '95po', '109po']",1.375,head,visual,visual,0.33,0.34,0.183,0.389,0.375,1.611,1.062,2.111,0.375,0.722,0.438,0.389,2.438
answer,"['4po', '80po', '109po']",3.824,mouth,auditory,auditory,0.488,0.488,0.275,0.05,0.235,0.55,0.353,2.35,0.647,3.1,0.176,0.2,2.235
anticipation,['60po'],0.722,head,interoceptive,interoceptive,0.336,0.512,0.255,0.773,0.278,0.909,0.556,3.091,3.667,1.182,0.167,0.955,1.444
anything,"['2po', '17po', '29po', '41po', '45po', '58po', '59po', '60po', '109po']",3.211,head,auditory,auditory,0.078,0.073,0.041,2.118,2.105,2.471,2.158,3.059,2.474,2.294,2.105,2.176,3.105
anyway,"['58po', '109po']",1.562,mouth,auditory,auditory,0.357,0.274,0.214,0.059,0.312,0.471,0.562,0.941,0.625,0.941,0.312,0.059,1.188
appearance,['2po'],0.25,head,visual,visual,0.206,0.733,0.295,1.6,0,1.65,0.85,3.35,0.4,1.35,0.25,1.75,4.8
apple,"['66to', '66po', '95po', '109po']",0.778,mouth,gustatory,gustatory,0.467,0.289,0.201,0.053,4.833,2.421,3.278,1.579,0.278,3.789,2.556,0.158,4.056
argument,['14po'],4,mouth,auditory,auditory,0.305,0.476,0.225,0.75,0,1.2,0.15,2.9,1.35,3.6,0,0.9,2.9
arise,['45po'],0.811,foot_leg,interoceptive,foot_leg,0.301,0.316,0.17,2,0.189,0.85,1,1.4,1.865,0.3,0.081,1.1,1.703
around,"['12po', '58po', '61po']",1.158,head,visual,visual,0.265,0.398,0.199,1.389,0.263,1.278,1.105,2.333,0.737,0.611,0.368,0.889,2.842
arrange,['60po'],0.421,hand_arm,visual,hand_arm,0.28,0.478,0.212,1.222,0.053,3.778,2.526,3.278,0.526,1.389,0.105,0.833,3.421
arrangement,"['0po', '10po', '17po', '41po', '60po', '109po']",1.8,head,visual,head,0.23,0.38,0.172,1,0.3,2.737,1.1,3.053,0.45,1.421,0.3,0.947,2.9
art,['77po'],1.857,head,visual,visual,0.446,0.389,0.244,0.263,0.514,2.474,2.114,3.526,0.857,0.684,0.6,0.368,4.629
article,['60po'],1.316,head,visual,visual,0.579,0.576,0.323,0,0.158,1.737,0.789,3.263,0.211,0.632,0.158,0,3.947
articulate,['36po'],3.211,mouth,auditory,mouth,0.321,0.448,0.216,0.9,0.263,1.25,0.579,3.2,0.632,3.8,0.368,0.65,1.526
artificial,['17po'],1.722,head,visual,visual,0.309,0.233,0.175,0.684,1.278,1.842,2.056,2.421,1.111,1.105,0.944,0.421,3.389
ash,['72po'],0.19,head,visual,visual,0.272,0.457,0.248,1.059,0.238,2.118,2.381,2.588,0.238,1,1.524,0.588,4.19
asked,"['59po', '109po']",3.733,mouth,auditory,mouth,0.615,0.622,0.337,0.238,0,0.524,0,1.19,0.667,4.19,0,0.286,1.6
asparagus,"['77to', '77po', '109po']",0.4,mouth,gustatory,gustatory,0.356,0.262,0.16,0.4,4.6,2.25,2.35,2.5,0.75,4.05,4,1.05,3.95
assiduous,['58po'],1.812,head,visual,head,0.336,0.178,0.143,0.588,1.062,2.529,1.938,3.176,1.875,1.294,1.188,0.471,3
assured,"['12po', '109po']",2.5,mouth,interoceptive,interoceptive,0.336,0.317,0.182,0.278,0.1,0.889,0.65,2.278,2.7,2.333,0.2,0.333,2.05
astonishing,"['30po', '59po', '109po']",0.875,head,visual,head,0.407,0.357,0.222,0.474,0.312,1.053,0.625,3.947,2.562,2.105,0.375,0.947,3.125
astonishment,"['4po', '60po']",2.167,head,interoceptive,head,0.364,0.238,0.156,0.667,0.833,1.333,1.444,3.905,3.611,2.19,0.778,0.81,3.056
attractive,['8po'],1.588,head,visual,visual,0.411,0.387,0.229,0.941,0.529,0.882,1.235,3.824,1.647,0.706,1.176,1.235,4.765
august,['12po'],1.235,head,visual,head,0.18,0.459,0.211,1.444,0.059,1.556,0.412,3,0.882,1.389,0.059,1.556,2.353
authorised,"['17po', '36po', '109po']",1.667,head,auditory,auditory,0.453,0.38,0.222,0.118,0,0.412,0.143,1.529,1.143,0.941,0,0.118,1.429
authority,"['58po', '60po', '109po']",3.143,head,visual,visual,0.28,0.4,0.209,0.7,0.19,1.1,0.571,2.9,0.952,2.15,0.143,1,3.571
away,"['2po', '15po', '18po', '58po', '107po', '109po']",1.062,head,visual,visual,0.216,0.385,0.192,1.545,0.125,1.121,0.688,2.061,1.469,0.667,0.469,1.061,2.594
awfulness,['61po'],2.722,head,visual,head,0.379,0.179,0.139,0.762,1.556,1,0.833,2.905,1.833,1.619,1.667,0.381,2.889
awkward,"['16po', '109po']",2.125,head,interoceptive,head,0.174,0.378,0.178,1.55,0,1.8,0.25,3.35,3.188,2,0.062,1.65,2.812
awkwardly,['16po'],1.176,head,interoceptive,interoceptive,0.131,0.4,0.182,1.952,0.294,2,0.588,2.381,3.471,2,0.294,1.143,2.118
back,"['54po', '72po', '85po', '109po']",0.406,torso,visual,torso,0.319,0.405,0.207,1.031,0.062,1.188,1.969,1.531,1.344,0.625,0.156,2.969,2.781
bad,['63po'],2.65,head,visual,head,0.179,0.137,0.098,1.421,1.3,1.947,1.1,3.263,2.5,2.105,1.45,1.579,2.7
bag,['18po'],1.647,hand_arm,visual,visual,0.472,0.4,0.25,0.632,0.147,3.368,3.735,1.579,0.324,0.316,0.441,0.579,4.441
bake,"['58po', '66po']",1,hand_arm,olfactory,olfactory,0.271,0.252,0.155,0.857,3.588,3.333,1.647,2.667,0.588,1.143,4.294,1.143,3.588
baker,['60po'],1.4,head,visual,visual,0.188,0.306,0.169,1.05,1.75,2.05,0.9,2.65,0.15,1.65,2.9,1.1,3.35
bakery,['72po'],1.059,mouth,visual,visual,0.217,0.304,0.197,1,2.118,1.65,1.471,2,0.353,2.3,4.353,0.65,4.588
baking,['58po'],1.1,hand_arm,olfactory,olfactory,0.232,0.264,0.147,1.1,2.6,3.35,1.4,2.7,0.45,2,3.8,1,3.35
bale,['56po'],0.75,hand_arm,visual,visual,0.295,0.385,0.195,1.143,0.438,2.81,2.312,2.619,0.375,0.381,0.938,1.286,3.625
balloon,"['27po', '53po']",1.389,hand_arm,visual,visual,0.272,0.414,0.24,0.429,0.222,2.333,3.167,1.952,0.222,1.476,0.444,0.81,4.222
band,['2po'],4.368,head,auditory,auditory,0.367,0.446,0.24,0.952,0,1.714,0.684,3.762,0.526,1.333,0.053,0.667,4.158
bank,['54po'],1.167,hand_arm,visual,visual,0.243,0.569,0.286,0.947,0.056,2.105,1.278,2.053,0.278,1.684,0.278,0.368,4.167
bare,['51po'],1.118,hand_arm,visual,visual,0.202,0.394,0.18,2.684,0.176,3,2.353,2.579,1.647,0.737,0.235,2.211,3.882
bargain,"['2po', '58po']",2.15,head,visual,visual,0.263,0.534,0.244,0.7,0.1,1.5,0.3,2.7,0.3,2.25,0.1,0.65,3.6
bargaining,['58po'],2.765,mouth,visual,mouth,0.363,0.276,0.165,0.333,0.353,0.952,0.706,2.762,1.765,3.048,0.529,0.381,2.824
barn,['17po'],1.588,head,visual,visual,0.302,0.358,0.201,1.85,0.235,1.65,1.706,2.55,0.235,0.3,2.118,1.1,3.647
basting,['62po'],0.364,hand_arm,visual,hand_arm,0.534,0.493,0.299,0.312,0.636,4.188,1.455,1.25,0.091,0.688,0.636,0.812,3.273
bats,['67po'],2.588,head,visual,visual,0.471,0.399,0.251,0.55,0.118,1.3,1.706,2.6,0.529,0.2,0.176,0.45,3.588
beads,['68po'],0.611,hand_arm,visual,visual,0.308,0.42,0.241,0.524,0.444,2.429,2.889,1.762,0.278,0.714,0.333,0.762,3.778
beaten,['46po'],1.235,hand_arm,visual,visual,0.142,0.327,0.149,2.429,0.294,3,2.176,2.381,2.353,1.333,0.294,2.619,3.529
beautiful,"['52po', '109po']",2.286,head,visual,visual,0.138,0.374,0.215,1.389,0.476,1.611,0.952,2.333,2.19,1.222,0.476,1.5,4.571
bed,"['2po', '58po', '80po', '84po', '109po']",0.895,head,haptic,haptic,0.196,0.346,0.159,3.048,0.263,3,4.421,3.714,1.474,0.952,0.842,3.381,4.105
bedding,['17po'],0.696,foot_leg,visual,visual,0.202,0.321,0.171,2.895,0.304,2.526,4.391,2.526,1.478,0.632,1.478,2.632,4.391
beds,['91po'],0.895,head,haptic,haptic,0.196,0.346,0.159,3.048,0.263,3,4.421,3.714,1.474,0.952,0.842,3.381,4.105
beef,['58po'],0.444,mouth,gustatory,gustatory,0.49,0.273,0.206,0,4.667,1.35,1.778,1.6,0.667,3.55,3.667,0.75,4.222
beefsteak,"['58po', '103po', '106po', '109po']",0.667,mouth,gustatory,mouth,0.443,0.229,0.176,0.238,3.889,1.667,1.667,1.952,1.167,4.333,3.167,1.048,3.5
beer,['60po'],0.895,mouth,gustatory,gustatory,0.347,0.222,0.154,0.421,4.526,2.737,1.789,2,2,4,3.737,1.158,3.421
bees,['68po'],3.647,head,visual,visual,0.303,0.413,0.249,1.05,0.059,1.55,1.824,2.85,0.647,0.7,0.118,0.95,4.529
beginning,"['72po', '109po']",1.947,head,visual,head,0.188,0.325,0.167,1.294,0.474,1.706,0.474,2.647,1.158,1.765,0.158,1.059,2.263
behave,['69po'],2.882,head,visual,visual,0.177,0.461,0.202,1.556,0,1.833,0.176,3.333,1.412,2.5,0,1.444,3.824
behind,"['2po', '33po', '69po', '109po']",0.947,head,visual,visual,0.27,0.489,0.22,1.842,0.105,1.263,1,3,1.053,0.684,0.368,1.789,3.526
believe,['2po'],1.5,head,interoceptive,head,0.625,0.314,0.288,0.1,0.278,0.15,0.333,3.6,2.278,1.1,0.222,0.65,1.944
belike,['83po'],1.667,head,interoceptive,head,0.245,0.17,0.123,1.105,1.286,1.684,1.476,3.789,3.143,2.895,1.476,1.474,1.857
bell,"['85po', '95po', '109po']",4.056,head,auditory,auditory,0.574,0.447,0.273,0.05,0.056,2.1,1.389,3.35,0.611,0.15,0.056,0.1,2.778
belt,"['53po', '65po']",0.333,hand_arm,visual,visual,0.337,0.454,0.231,0.65,0.167,3.05,3.278,1.2,0.333,0.3,0.333,2.95,4
bend,['17po'],1.2,hand_arm,visual,visual,0.233,0.374,0.179,2.8,0.15,3.1,2.85,1.25,1.7,0.6,0.15,3,3.85
beneath,['68po'],0.65,head,visual,visual,0.254,0.528,0.22,1.55,0.05,2.15,1.3,2.9,0.7,0.65,0.25,1.6,3.4
bent,"['60po', '69po', '109po']",0.5,hand_arm,visual,visual,0.302,0.511,0.257,2.05,0,2.8,2.95,1.65,0.8,0.2,0,1.9,4.45
beside,"['54po', '58po', '61po', '71po', '101po']",0.579,head,visual,visual,0.256,0.653,0.401,0.6,0,0.75,1.211,1.45,0.158,0.45,0.211,0.65,4.053
besides,"['21po', '58po']",0.676,head,visual,visual,0.119,0.342,0.173,0.667,0.059,1.033,0.853,1.2,0.941,0.733,0.412,0.833,1.618
best,"['2po', '21po', '24po', '29po', '35po', '45po', '54po', '56po', '58po', '60po', '61po', '62po', '63po', '66po', '68po', '69po', '95po', '109po']",1.5,head,interoceptive,head,0.209,0.166,0.133,1.25,0.85,1.5,0.95,3.1,2.2,1.7,0.8,1.3,2.15
betrayal,['17po'],1.824,head,visual,visual,0.289,0.441,0.212,0.571,0,0.952,0.059,2.619,1.765,2.286,0,0.667,2.882
better,"['14po', '58po', '67po', '73po']",1.706,head,visual,head,0.257,0.185,0.114,0.805,0.706,0.951,1,2.39,2.118,1.122,0.765,0.902,2.294
beware,['60po'],2.647,head,visual,visual,0.374,0.247,0.169,0.4,0.471,0.8,0.647,2.35,2.765,1.45,0.529,0.35,2.941
bidding,"['45po', '61po']",2.882,mouth,auditory,mouth,0.36,0.449,0.212,0.316,0.059,1.579,0.176,2.053,0.647,2.947,0.059,0.421,2.471
big,"['42po', '109po']",0.944,head,visual,visual,0.259,0.463,0.229,1,0.167,1.9,2.722,3.1,0.333,1.35,0.111,0.95,3.889
bigger,"['58po', '109po']",0.55,head,visual,visual,0.455,0.613,0.418,0.4,0,0.65,2,1.75,0.2,0.25,0,0.25,4.35
bill,['56po'],0.947,head,visual,visual,0.394,0.537,0.311,0.2,0.053,1.8,1.842,2.25,0.368,0.75,0.053,0.2,3.895
binding,['17po'],0.611,hand_arm,visual,visual,0.172,0.495,0.217,1.211,0,2.053,1.5,1.368,0.556,1.211,0,0.895,2.611
bird,"['61po', '87po']",3.68,head,visual,visual,0.5,0.361,0.231,0.375,0.8,1.583,1.4,3.375,0.16,0.542,0.8,0.292,4.12
birthday,"['58po', '109po']",2.278,head,visual,head,0.199,0.322,0.172,1.333,0.778,1.81,0.222,3.476,1.333,2.524,0.667,1.619,2.833
bit,"['11po', '18po', '37to', '109po']",0.29,mouth,visual,mouth,0.485,0.366,0.246,0.387,0.71,0.871,2.258,1.387,0.903,3.419,0.129,0.323,2.677
bite,"['23po', '65po']",1,mouth,visual,mouth,0.615,0.352,0.294,0.295,0.625,0.574,2.125,1.277,2,4.745,0,0.347,3.125
bits,['81po'],0.29,mouth,visual,mouth,0.485,0.366,0.246,0.387,0.71,0.871,2.258,1.387,0.903,3.419,0.129,0.323,2.677
bitten,['63po'],0.875,mouth,haptic,mouth,0.198,0.296,0.171,1.3,0.5,1.7,2.5,2.1,2.188,3.05,0,1.2,2.375
bitter,['29po'],1.062,mouth,gustatory,gustatory,0.661,0.396,0.27,0,4.25,0.048,0.188,1.524,2.188,3.619,1.562,0.286,1
black,"['2po', '8po', '12po', '13po', '56to', '56po', '58po', '109po']",0.059,head,visual,visual,0.473,0.862,0.456,0.4,0.059,0.65,0.118,2.55,0.353,0.4,0.059,0.55,4.471
blackening,['52po'],0.706,head,visual,visual,0.34,0.358,0.26,0.421,1.294,1.421,0.824,2.053,1,0.684,1.706,0.368,4.176
blame,['69po'],3.25,head,auditory,auditory,0.418,0.542,0.289,0.095,0,0.429,0.1,2.286,0.8,2.238,0,0.19,1.85
blaming,['17po'],2.895,mouth,auditory,mouth,0.386,0.437,0.228,0.35,0,0.65,0.211,3.1,1.526,3.25,0,0.3,2
bland,['72po'],0.389,mouth,gustatory,gustatory,0.521,0.497,0.262,0.105,4.167,0.632,0.167,2.474,0.778,4,1.389,0.263,1.167
blank,['42po'],0.4,head,visual,visual,0.671,0.508,0.328,0.167,0.4,0.444,0.45,2.944,1.2,0.556,0.35,0.111,3.6
blanket,"['45po', '58po', '72po']",0.211,hand_arm,haptic,haptic,0.284,0.436,0.207,2.5,0.053,3.4,4.158,1.4,0.684,0.45,0.947,2.65,3.368
blaze,['61po'],1.556,head,visual,visual,0.252,0.376,0.208,0.947,0.056,1.947,1.722,3.053,0.389,1.211,2.667,1.211,3.944
blazing,['59po'],1.474,head,visual,visual,0.389,0.366,0.24,0.421,0.421,0.684,1.526,2.263,0.684,0.895,1.211,0.474,3.737
blessing,['69po'],2.158,head,visual,head,0.23,0.266,0.15,0.875,0.316,1.688,1.684,3.188,1.895,3,0.316,1.312,2.737
blessings,['39po'],2.2,head,interoceptive,head,0.319,0.314,0.165,0.467,0.4,1.4,0.467,2.867,2.8,2.267,0.333,0.533,1.667
blew,['90po'],2.294,mouth,visual,visual,0.581,0.292,0.206,0.048,0.824,0.571,2.235,1.095,2.059,3.476,0.294,0.714,3.588
blight,"['4po', '68po']",0.333,torso,visual,visual,0.143,0.469,0.291,0.6,0,0.733,0.667,0.667,1.417,0.4,0.417,0.867,2.5
blind,"['0to', '26po', '61po', '109po']",1.438,head,visual,head,0.7,0.105,0.284,0.529,0.75,0.765,1.5,3.706,1.5,0.294,1,0,1.562
blinder,['58po'],0.167,head,visual,visual,0.62,0.753,0.37,0.167,0,1.222,0.944,3.333,0.111,0.167,0,0.222,3.722
blindly,['61po'],0.7,head,visual,head,0.409,0.327,0.245,0.6,0.15,0.95,1.1,2.8,1.55,0.55,0.1,0.6,1.9
blisters,"['61po', '63po', '109po']",0,foot_leg,haptic,haptic,0.199,0.378,0.19,3.5,0.19,3.05,4.143,1.4,2.714,1.5,0,1.35,3.905
blood,['58po'],0.158,head,visual,visual,0.092,0.33,0.166,2.095,1.526,2.571,2.895,3.143,1.474,2.048,1.895,2.095,4.158
bloom,['17po'],0.125,head,visual,visual,0.554,0.413,0.28,0.2,0.25,1,1.938,2.75,0.875,0.35,2.375,0.3,4.125
blue,"['2po', '11po', '13po', '15to', '15po', '45po', '109po']",0.25,head,visual,visual,0.756,0.832,0.46,0.111,0,0.111,0.15,3.389,0.5,0.333,0,0.389,4.45
board,"['2po', '68po']",0.647,head,visual,visual,0.203,0.497,0.297,1.091,0,1.682,3.294,1.727,0.059,0.545,0.353,0.773,4.294
boat,['65po'],1.895,hand_arm,visual,visual,0.26,0.374,0.216,1.429,0.263,2,2.158,1.905,0.421,0.19,0.632,1.429,3.632
bobble,['53po'],0.294,head,visual,head,0.377,0.59,0.263,0.941,0,2.471,1.471,3.882,0.647,0.529,0,1.059,3.471
boils,['45po'],2.278,hand_arm,visual,visual,0.241,0.358,0.206,0.737,0.111,2.474,1.944,2.211,1.444,1.053,0.389,0.737,3.611
bolster,['41po'],1.8,head,visual,visual,0.193,0.4,0.202,0.529,0.2,1,0.533,1.471,0.467,0.882,0,1,2
bolts,['46po'],1.375,hand_arm,visual,hand_arm,0.192,0.412,0.176,2.333,0.125,2.905,1.375,2.286,0.875,0.952,0,1.667,2.625
bone,"['58po', '59po']",0.278,hand_arm,visual,visual,0.094,0.362,0.147,2.476,0.389,3.381,2.444,2.762,2.056,2.143,0.333,2.476,3.556
bones,"['58po', '59po']",0.278,hand_arm,visual,visual,0.094,0.362,0.147,2.476,0.389,3.381,2.444,2.762,2.056,2.143,0.333,2.476,3.556
book,"['54to', '54po']",1.15,head,visual,visual,0.389,0.464,0.236,0.5,0.05,3.136,2.9,4.091,0.4,0.955,0.6,0.545,4.5
boom,['78po'],4.824,head,auditory,auditory,0.444,0.527,0.343,0.421,0.176,0.842,0.529,2.526,1.471,0.474,0.353,0.474,1.471
border,"['12po', '109po']",1.4,head,visual,visual,0.227,0.424,0.214,2,0.2,1.3,1.933,2.85,0.867,1,0.2,1,3.733
bore,['72po'],1.941,head,visual,visual,0.382,0.244,0.183,0.238,0.294,0.952,0.941,1.429,2.118,0.429,0.412,0.19,2.235
borrowing,"['1po', '109po']",1.765,hand_arm,visual,hand_arm,0.328,0.357,0.181,0.579,0.294,2.789,1,2.211,0.588,1.211,0.294,0.421,2.647
bottle,"['12to', '109po']",0.765,hand_arm,visual,visual,0.358,0.504,0.24,0.368,0.294,3.632,2.706,1.737,0,2.842,0.353,0.526,4.176
bottom,"['35po', '60po', '105po']",0.45,torso,visual,visual,0.348,0.51,0.351,0.789,0,0.684,2.35,0.684,0.8,0.053,0.15,1.263,3.9
bought,"['37po', '69po']",2,head,visual,visual,0.25,0.303,0.17,0.684,0.444,2.158,2.167,2.263,0.611,1.053,0.389,0.579,3
bow,"['13po', '45po']",0.529,torso,visual,visual,0.296,0.528,0.256,0.905,0,1.905,2.059,1.667,0.412,0.143,0,2.143,3.353
box,"['3to', '10to', '10po']",0.105,hand_arm,visual,visual,0.3,0.542,0.293,0.842,0,2.684,3.421,1.789,0.053,0.632,0.105,0.895,4.368
bready,['66po'],0.158,mouth,gustatory,mouth,0.511,0.275,0.188,0,4.421,2.429,3.105,1.619,1,4.619,3,0.381,3.842
break,"['11po', '68po']",2.412,hand_arm,visual,hand_arm,0.196,0.288,0.149,1.952,0.176,2.857,2.353,1.952,1.118,1.143,0.176,1.095,2.765
breakages,['1po'],2.353,hand_arm,visual,visual,0.202,0.347,0.185,1.85,0.059,2.75,2.647,1.85,1.353,0.95,0.176,1.5,3.588
breakfast,"['60to', '60po']",1.125,mouth,gustatory,gustatory,0.362,0.211,0.153,0.368,4.625,2.474,1.875,2.684,1.375,4.421,3.875,1.263,3.75
breaking,['11po'],3.353,hand_arm,visual,visual,0.365,0.345,0.202,1.364,0,3.136,2.412,1.273,0.824,0.955,0.118,0.5,3.529
breast,['80po'],0.25,torso,visual,visual,0.492,0.382,0.231,0.3,0.8,1.05,3.35,1.05,1.05,0.6,0.45,3.5,4.05
breath,"['1po', '109po']",2.353,mouth,interoceptive,mouth,0.488,0.167,0.206,0.105,1.16,0.263,1.521,1.737,3.224,4.526,2.428,2.421,1.678
breed,['54po'],0.278,head,visual,visual,0.306,0.642,0.295,0.85,0.056,1.05,1.111,2.4,0.333,0.5,0.056,1.4,3.444
breeze,['60po'],2.833,head,haptic,haptic,0.152,0.388,0.176,2.062,0.056,2.188,3.5,2.938,0.889,1.312,0.444,2.188,1.167
brighter,['10po'],0.176,head,visual,visual,0.587,0.784,0.391,0.45,0,0.6,0.353,3.95,0.706,0.65,0.059,0.4,4.706
broad,['42po'],1.25,hand_arm,visual,visual,0.124,0.517,0.245,1.5,0,2.1,1.812,2,0.438,1.1,0,1.35,3.75
